"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","LogBili",0.8371,0.819919633693783,-0.017180366306217,-0.0205236725674555,0.0926470045245062,0.0908438516801201,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Albumin",-1.159,-1.17180585164485,-0.0128058516448468,0.0110490523251483,0.209728038510119,0.209979062077564,0.94,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Intercept",-1.234,-1.06683600284085,0.167163997159148,-0.135465151668678,1.20150242567223,1.13427450359673,0.927,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Age",0.0387,0.0408839528037308,0.00218395280373082,0.0564328889852925,0.0107736613401273,0.0100567227833115,0.922,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","LogBili",0.8371,0.890539771974568,0.0534397719745685,0.0638391733061385,0.117297951408902,0.109978048017377,0.904,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Albumin",-1.159,-1.22935689175054,-0.0703568917505444,0.0607048246337743,0.281708344214084,0.260910574890769,0.901,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Intercept",-1.234,-1.85989381563243,-0.62589381563243,0.507207306023039,2.15488913334632,1.46834702166299,0.875,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Age",0.0387,0.0478377290354374,0.00913772903543745,0.236117029339469,0.0222900559495358,0.0133305345255274,0.852,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","LogBili",0.8371,0.944659144796242,0.107559144796242,0.128490198060258,0.27307952504751,0.143746806330601,0.803,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Albumin",-1.159,-1.23192980866394,-0.0729298086639392,0.0629247702018457,0.447394678398391,0.322966394134394,0.915,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Intercept",-1.234,-1.70551455640129,-0.471514556401291,0.382102557861662,1.18765390901495,1.1168542289579,0.908,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Age",0.0387,0.0467945279901875,0.00809452799018753,0.209160929979006,0.0120050849853662,0.0101892273183863,0.828,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","LogBili",0.8371,0.955289507285495,0.118189507285495,0.141189233407592,0.137462466836048,0.106697813371387,0.746,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Albumin",-1.159,-1.20098082639972,-0.041980826399715,0.0362215930972519,0.254554319606674,0.243611010891663,0.938,1000
