"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","LogBili",0.8371,0.8425,0.0054,0.0065,0.1041,0.102,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Albumin",-1.159,-1.1756,-0.0166,0.0143,0.2205,0.2158,0.943,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Intercept",-1.234,-1.0912,0.1428,-0.1157,0.982,0.9684,0.942,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Age",0.0387,0.0387,0,-0.0013,0.0086,0.0088,0.952,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","LogBili",0.8371,0.8199,-0.0172,-0.0205,0.0926,0.0908,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Albumin",-1.159,-1.1718,-0.0128,0.011,0.2097,0.21,0.94,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Intercept",-1.234,-1.0668,0.1672,-0.1355,1.2015,1.1343,0.927,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Age",0.0387,0.0409,0.0022,0.0564,0.0108,0.0101,0.922,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","LogBili",0.8371,0.8905,0.0534,0.0638,0.1173,0.11,0.904,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Albumin",-1.159,-1.2294,-0.0704,0.0607,0.2817,0.2609,0.901,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Intercept",-1.234,-1.8599,-0.6259,0.5072,2.1549,1.4683,0.875,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Age",0.0387,0.0478,0.0091,0.2361,0.0223,0.0133,0.852,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","LogBili",0.8371,0.9447,0.1076,0.1285,0.2731,0.1437,0.803,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Albumin",-1.159,-1.2319,-0.0729,0.0629,0.4474,0.323,0.915,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Intercept",-1.234,-1.7055,-0.4715,0.3821,1.1877,1.1169,0.908,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Age",0.0387,0.0468,0.0081,0.2092,0.012,0.0102,0.828,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","LogBili",0.8371,0.9553,0.1182,0.1412,0.1375,0.1067,0.746,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Albumin",-1.159,-1.201,-0.042,0.0362,0.2546,0.2436,0.938,1000
